18p;2;"C2 C3";
2n2;2;"C21 C31";~
10n;3;"C23 C25 C30";~
30n;3;"C29 C33 C40";~
100n;21;"C1 C4 C5 C6 C9 C11 C13 C14 C19 C20 C22 C26 C27 C28 C32 C34 C35 C37 C39 C41 C42";~
1u;1;"C38";~
4u7;2;"C16 C17";
4u7;3;"C7 C8 C10";~
330u;4;"C15 C18 C24 C36";~
lm258a;2;"D4 D6";
1N5819;7;"D1 D2 D3 D5 D7 D8 D9";~
led-0;1;"D10";~
led-1;1;"D11";~
led-2;1;"D12";~
swd;1;"K1";
servo-1;1;"K2";
servo-2;1;"K3";
50uH;2;"L1 L2";~
STM32F100RCT6B;1;"MCU1";~
boot;2;"P1 P2";
-;1;"P3";~
+;1;"P4";~
work;1;"P5";~
aux;1;"P6";~
ref;1;"P7";~
bc857;2;"Q1 Q3";~
bc847;5;"Q2 Q4 Q6 Q7 Q8";~
irlml2244;1;"Q5";~
0.15;2;"R13 R28";~
3;2;"R10 R11";~
10;2;"R7 R39";~
100;3;"R3 R23 R24";~
1k;15;"R8 R12 R19 R20 R22 R26 R27 R30 R31 R35 R36 R41 R44 R45 R46";~
1k1;2;"R14 R34";~
1k33;3;"R32 R37 R42";~
4k;3;"R33 R38 R43";~
5k3;1;"R40";~
6k8;1;"R25";~
10k;2;"R2 R5";
10k;10;"R1 R4 R9 R15 R16 R17 R18 R29 R47 R48";~
30k;1;"R21";~
100k;1;"R6";~
btn-1;1;"SW1";~
btn-2;1;"SW2";~
INA126;1;"U11";
CRYSTAL-4PIN;1;"U1";~
CP2102;1;"U2";~
MICRO-USB-B;1;"U3";~
MCP1703T-3302E/CB;2;"U4 U5";~
NCP3063;2;"U6 U8";~
SPARTAN-SIP-9007;3;"U7 U9 U12";~
TDA2030A;1;"U10";~
